id,url,bread_list,q,a_text
11,https://faq.nissay.co.jp/faq/show/11?site_domain=default,よくあるご質問 > 法人インターネットサービス > ご利用環境とセキュリティ > インターネット上のセキュリティはどうなっていますか。,インターネット上のセキュリティはどうなっていますか。,当サービスでは、以下のセキュリティ対策を行っております。 (1)「パスワード」「セキュリティコード」の2種類を設定いただきます。 (2)SSLによって情報は暗号化されています。 (3)一定時間以上、端末操作せずに放置されますと、自動的にシステムを終了します。
12,https://faq.nissay.co.jp/faq/show/12?site_domain=default,よくあるご質問 > 法人インターネットサービス > ご利用環境とセキュリティ > 専用のソフトは必要ですか。,専用のソフトは必要ですか。,専用ソフトは必要ありません。
13,https://faq.nissay.co.jp/faq/show/13?site_domain=default,よくあるご質問 > 法人インターネットサービス > ご利用環境とセキュリティ > インターネット利用環境を教えてください。また利用する上で制約はありますか。,インターネット利用環境を教えてください。また利用する上で制約はありますか。,以下のブラウザでご利用いただけます。 ブラウザ Microsoft Edge（97.0.1072.55） ※プレリリースやベータ版はご利用になれません。 ※上記以外のブラウザをご利用の場合、一部、正しく動作しない可能性がございますので、予めご了承ください。 なおご利用には、ブラウザの設定で“cookie”を有効にする必要があります。 また、プロバイダや企業内LANなどの環境によっては、ご利用になれない場合もあります。 ニッセイ法人インターネットサービスのご利用時間は、以下のとおりとなります。 サービス種類 月～土曜※1 日曜・祝日※1 新規お申込みの受付 8:00～23:45 8:00～20:00 照会 サービス 加入保険契約内容照会 24時間※2 0:00～20:00※2 経理処理情報照会 8:00～23:45 8:00～20:00 将来受取額照会 24時間 0:00～20:00 資金取引 サービス 契約貸付金の借入れ （残高照会） 8:00～23:45 （照会は24時間）※3 8:00～20:00 （照会は 0:00～20:00）※3 積立配当金の引出し （残高照会） 据置祝金の引出し （残高照会） 据置保険金の引出し （残高照会） 取引履歴照会 24時間 0:00～20:00 各種お手続き メールアドレス 登録・変更・削除 24時間 24時間 パスワード登録・変更 8:00～23:45 8:00～20:00 セキュリティコード登録・変更 自動取引サービスの利用停止（ニッセイ法人インターネットサービスの全面停止） ※1毎月25日直前の日曜日、12/31～1/3、5/3～5/5は利用停止日となります。 ご利用停止日の前日は23:45まで、翌日は8:00からのご利用となります。 日曜・祝日の20:00～翌日8:00はご利用になれません。 ※2変額保険解約時のお支払金額の照会は月～金曜日9:00～23:45となります。 土・日・祝日はお取扱いしておりません。 ※3変額保険の照会・引出し・借入れは9:00からとなります。 土・日・祝日はお取扱いしておりません。
14,https://faq.nissay.co.jp/faq/show/14?site_domain=default,よくあるご質問 > 法人インターネットサービス > ご利用環境とセキュリティ > 携帯電話やPHSその他のモバイル端末では利用できますか。,携帯電話やPHSその他のモバイル端末では利用できますか。,大変申し訳ありませんが、ご利用いただけません。
15,https://faq.nissay.co.jp/faq/show/15?site_domain=default,よくあるご質問 > 法人インターネットサービス > ご利用環境とセキュリティ > Linux、Unixでも使えますか。,Linux、Unixでも使えますか。,大変申し訳ありませんが、ご利用いただけません。
16,https://faq.nissay.co.jp/faq/show/16?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスのお申込み > 申込みの方法を教えてください。また、申込みからサービス利用開始までの日数を...,申込みの方法を教えてください。また、申込みからサービス利用開始までの日数を教えてください。,インターネット上で申込書の請求をいただいた後、1週間程度で当サービスの申込書がお客様のお手元に届きます。 また申込書にご記入のうえ、ご返送いただき、当社で受付後、1週間程度で「お客様IDのお知らせ」が送付されます。 記載されている「お客様ID」「仮セキュリティーコード」と、申込書請求時にご設定いただいた「パスワード」を入力いただくことで、当サービスが利用できるようになります。 上記は、インターネット上で申込書の請求をしていただいた場合のお取扱いとなります。 サービスのお申込みにつきましては、インターネット上による申込書の請求のほか、ニッセイトータルパートナーに申込書の請求をすることもできます。その場合、インターネットによる申込書の請求のお取扱いと異なります。 ※上記日数は目安となります。お手続きの状況により日数は変わる可能性がございます。 申込書仮請求につきましては、以下をご参照ください。 申込書仮請求について
17,https://faq.nissay.co.jp/faq/show/17?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスのお申込み > 入会金・会費などは必要ですか。,入会金・会費などは必要ですか。,入会金・会費などは不要です。
18,https://faq.nissay.co.jp/faq/show/18?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスのお申込み > これから新規で保険に加入する予定ですが、新規加入の手続きをする際、当サービ...,これから新規で保険に加入する予定ですが、新規加入の手続きをする際、当サービスの申込みも同時にできますか。,法人インターネットサービスの申込書も同時記入することで、保険の新規加入と法人インターネットサービス申込みを同時に行うことができます。 ※事業保険扱契約につきましては、保険の新規加入と当サービスへのお申込みは、別のお手続きとなります。
19,https://faq.nissay.co.jp/faq/show/19?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスのお申込み > 取引口座（送金口座）とは何ですか。,取引口座（送金口座）とは何ですか。,契約貸付金や積立配当金のお引出しなどの資金取引サービスをご利用いただく際に、当社から貸付金などをお振込みさせていただく口座を取引口座（送金口座）といいます。 取引口座（送金口座）には法人名義の口座をご登録ください。
20,https://faq.nissay.co.jp/faq/show/20?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > ニッセイ法人インターネットサービスはどのようなサービスですか。,ニッセイ法人インターネットサービスはどのようなサービスですか。,法人のお客様専用のサービスです。 ご利用登録いただくことにより、インターネット上で以下のサービスがご利用可能となります。 (1)ご契約いただいている契約の内容照会 (2)将来受取額の照会 (3)お支払いいただいている保険料の経理処理情報の照会※ (4)急な資金が必要な場合などに、契約貸付、積立配当金などの引出しといった資金取引 ※経理処理情報は、試算数値での提供となります。正確な経理処理につきましては、税理士、所轄の税務署にご確認・ご相談ください。
21,https://faq.nissay.co.jp/faq/show/21?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 全ての契約がサービスの対象となるのですか。,全ての契約がサービスの対象となるのですか。,以下のご契約につきましてはご利用いただけません。 保険金をお支払した、満期金をお支払したなどのために現在消滅している契約 また、団体定期保険、企業年金保険、年金基金保険、確定拠出年金などの企業保険についても当サービスの対象となりません。
22,https://faq.nissay.co.jp/faq/show/22?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 自宅と会社の両方で使いたいのですが、可能ですか。,自宅と会社の両方で使いたいのですが、可能ですか。,インターネット環境があればどこからでもご利用いただけます。 海外からのご利用に際しては、日本語の環境が必要となる場合がございます。
23,https://faq.nissay.co.jp/faq/show/23?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 個人契約では、サービスを利用できませんか。,個人契約では、サービスを利用できませんか。,当サービスは法人のお客様専用のサービスとなります。 個人のお客様につきましては、「ご契約者さま専用サービス」をご利用ください。 ご契約者さま専用サービス
24,https://faq.nissay.co.jp/faq/show/24?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「事業保険扱契約」は当サービスで利用できますか。,「事業保険扱契約」は当サービスで利用できますか。,「事業保険扱契約」は平成21年9月21日より当サービスをご利用いただけるようになりました。経理処理情報照会サービスにてご確認いただけます。 ※「事業保険扱契約」は、法人を契約者とし、その法人に在籍する10名以上の役員・従業員を被保険者としてご契約いただき、“事業保険扱契約の締結（事業保険扱契約申込書のご提出）”をいただいたご契約です。 ※「事業保険扱契約」は経理処理情報照会サービスのみご利用いただけます。申し訳ございませんが、契約内容の照会や契約貸付金の借入れなどの資金取引など、経理処理情報以外のサービスについてはご利用いただけません。 ※経理処理情報照会サービスでは、ご登録いただきました決算月に応じて情報が更新されますので、ご照会いただいた時点によっては、ご契約の経理処理情報がご覧いただけない場合がございます。
25,https://faq.nissay.co.jp/faq/show/25?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「ニッセイ法人インターネットサービス」にログインできません。,「ニッセイ法人インターネットサービス」にログインできません。,ログインにあたっては、「お客様ID」「パスワード」「セキュリティコード」の3つの情報で認証を行っています。 いずれかが誤って入力された場合は、ログインできません。 「お客様ID」を忘れてしまった場合について パスワードを忘れてしまった場合について 「セキュリティコード」を忘れてしまった場合について
26,https://faq.nissay.co.jp/faq/show/26?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「お客様ID」を忘れてしまった場合はどうしたらよいですか。,「お客様ID」を忘れてしまった場合はどうしたらよいですか。,お客様IDは「ご契約内容のお知らせ」などの通知物をご確認ください。 通知物を紛失されたなど、確認ができない場合は、お手数ですが、当社ホームページの法人インターネットサービスページにある「お問合せ・相談」よりお申出ください。 お問合せ・ご相談
27,https://faq.nissay.co.jp/faq/show/27?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「お客様ID」は変更できますか。,「お客様ID」は変更できますか。,お客様IDは、自動付与となるため、変更いただくことができません。
28,https://faq.nissay.co.jp/faq/show/28?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「法人インターネットサービス」のパスワードを忘れてしまいました。,「法人インターネットサービス」のパスワードを忘れてしまいました。,書面でのお手続きが必要となります。 ※セキュリティの関係上、インターネット・電話でのパスワードの回答は行うことができません。 お手数ですが、当社ホームページの法人インターネットサービスページにある「お問合せ・ご相談」よりお申し出ください。 当社よりお手続き書類を郵送いたします。 お問合せ・ご相談
29,https://faq.nissay.co.jp/faq/show/29?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「パスワード」は変更できますか。,「パスワード」は変更できますか。,変更できます。 ログイン後の「サービストップ」画面から、「パスワードの変更」を選択してお手続きください。
30,https://faq.nissay.co.jp/faq/show/30?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「セキュリティコード」を忘れてしまいました。,「セキュリティコード」を忘れてしまいました。,書面でのお手続きが必要となります。 ※セキュリティの関係上、インターネット・電話でのセキュリティコードの回答は行うことができません。 当社ホームページ「法人インターネットサービス」上の「お問合せ・ご相談」 よりお申し出ください。 当社よりお手続き書類を郵送いたします。 お問合せ・ご相談
31,https://faq.nissay.co.jp/faq/show/31?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「セキュリティコード」は変更できますか。,「セキュリティコード」は変更できますか。,変更できます。 ログイン後の「サービストップ画面」から、「セキュリティコードの変更」を選択してお手続きください。
32,https://faq.nissay.co.jp/faq/show/32?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「パスワード」や「セキュリティコード」を連続で間違えてロックがかかってしま...,「パスワード」や「セキュリティコード」を連続で間違えてロックがかかってしまいました。,誤った「パスワード」「セキュリティコード」を所定の回数入力されるとセキュリティの関係上、ロックがかかります。 （入力回数は通算されます） ご利用再開には、書面によるお手続きが必要となります。 当社ホームページ「法人インターネットサービス」上の「お問合せ・ご相談」よりお申出ください。 当社よりお手続き書類を郵送いたします。 お問合せ・ご相談
33,https://faq.nissay.co.jp/faq/show/33?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 利用時間を教えてください。,利用時間を教えてください。,サービス内容により、ご利用時間が異なります。以下のページよりご確認ください。 ご利用時間
34,https://faq.nissay.co.jp/faq/show/34?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > メールサービスの内容を教えてください。,メールサービスの内容を教えてください。,経理処理情報の更新をご案内するサービスです。 （予めご登録いただいている決算月翌月10日頃の配信となります） その他、不定期で商品・サービスのご案内などを送付することがあります。
35,https://faq.nissay.co.jp/faq/show/35?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 住所が変わったのですが、手続きはできますか。,住所が変わったのですが、手続きはできますか。,当サービスでは住所変更手続きはお取扱しておりませんので、書面でお手続きいただくこととなります。 当社ホームページ「法人インターネットサービス」上の「お問合せ・ご相談」よりお申出ください。 当社よりお手続き書類を郵送いたします お問合せ・ご相談
36,https://faq.nissay.co.jp/faq/show/36?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > サービスの利用者は取締役などに限定されるのですか。また、利用担当者の変更は...,サービスの利用者は取締役などに限定されるのですか。また、利用担当者の変更はできますか。,「ニッセイ法人インターネットサービス」の利用者は、役職などに関わらず、お客様が任意に設定いただくことが可能です。 ※ただしセキュリティの関係上、利用者を変更される場合は、「パスワード」「セキュリティコード」を変更いただくようお願いいたします。 なお、利用者変更について当社への連絡は不要です。
37,https://faq.nissay.co.jp/faq/show/37?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 取引口座（送金口座）を変更したいのですが。,取引口座（送金口座）を変更したいのですが。,当サービスでは、取引口座（送金口座）変更のお手続きはお取扱いしておりませんので、書面でお手続きいただくこととなります。 当社ホームページの「法人インターネットサービス」上の「お問合せ・ご相談」よりお申し出いただくようお願いします。 お問合せ・ご相談
38,https://faq.nissay.co.jp/faq/show/38?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 経理処理情報にはどのような情報が掲示されますか。,経理処理情報にはどのような情報が掲示されますか。,契約単位・法人単位での経理処理情報（お支払いいただいた保険料の仕訳など）の情報を提供いたします。 サービス申込時にあらかじめお客様に指定いただく決算月の翌月10日頃に情報を更新します。提供する数値情報は、決算年度1年度分の数値となります。 ※一部の契約については法人単位合計の対象外となる場合があります。 ※平成21年9月以降の決算月から、保険金受取人に応じて経理処理情報が変わりますので、同じ契約でも以前と経理処理情報が異なる場合があります。
39,https://faq.nissay.co.jp/faq/show/39?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 経理処理情報に掲載されている情報はいつ時点のものですか。,経理処理情報に掲載されている情報はいつ時点のものですか。,経理処理情報につきましては、決算年度開始月から、あらかじめご登録いただいている決算月（本決算月に加え、任意に最大3回（本決算月と合わせて年間最大4回まで登録可能））までの数値となります。 ご登録いただいている決算月翌月の10日頃に情報が更新されます。
40,https://faq.nissay.co.jp/faq/show/40?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「経理処理情報」照会サービスについて、更新前の情報を見ることはできますか。,「経理処理情報」照会サービスについて、更新前の情報を見ることはできますか。,更新前の情報は閲覧できません。
41,https://faq.nissay.co.jp/faq/show/41?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 個別の経理処理の相談などはできますか。,個別の経理処理の相談などはできますか。,お客様個別の経理処理などに関するお問合せは当社では回答いたしかねます。 恐れ入りますが、顧問税理士や所轄の国税局、税務署などにご相談いただくようお願いします。 また、当サービスでの経理処理情報は、あくまでも試算数値ですので、数値内容についても、顧問税理士や所轄の国税局、税務署などにご相談していただくようお願いします。
42,https://faq.nissay.co.jp/faq/show/42?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「将来受取額情報」はどのような情報ですか。,「将来受取額情報」はどのような情報ですか。,ご加入いただいている契約の将来の解約払戻金の概算額の推移がわかります。 特定の期間をご指定して表示することも可能です。 ※解約払戻金は将来年月日の数値であり将来にわたって保証するものではありません。
43,https://faq.nissay.co.jp/faq/show/43?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 「将来受取額」照会サービスで、過去の解約返戻金額を見ることはできますか。,「将来受取額」照会サービスで、過去の解約返戻金額を見ることはできますか。,過去の解約払戻金の情報については、ご提供することができません。
44,https://faq.nissay.co.jp/faq/show/44?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > インターネット上で、契約貸付金の返済、保険料の支払いなどの手続きはできますか。,インターネット上で、契約貸付金の返済、保険料の支払いなどの手続きはできますか。,契約貸付金の返済や保険料の支払いなどの入金手続きはご利用いただけません。 お手数ですが、当社ホームページの法人インターネットサービスページにある「お問合せ・相談」よりお申し出ください。 当社より所定の振込用紙を郵送いたします。 お問合せ・ご相談
45,https://faq.nissay.co.jp/faq/show/45?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 契約貸付金の借入れなどの資金取引において、着金日はいつになりますか。,契約貸付金の借入れなどの資金取引において、着金日はいつになりますか。,平日14時30分までにお手続きをいただければ、当日中（お手続きが土日祝日の場合は翌営業日）に着金します。 但し、取引口座（送金口座）がゆうちょ銀行の場合、お手続き時間に関係なく2営業日後（お手続きが土日祝日の場合は3営業日後）に着金します。 ※お手続きされた時間帯や利用される金融機関によって着金日は異なりますので、以下をご確認ください。 着金日について
46,https://faq.nissay.co.jp/faq/show/46?site_domain=default,よくあるご質問 > 法人インターネットサービス > サービスの内容 > 契約貸付金の借入れなどの資金取引について、取引履歴がわかりますか。,契約貸付金の借入れなどの資金取引について、取引履歴がわかりますか。,「ニッセイ法人インターネットサービス」でご利用いただいた資金取引については履歴照会ができます。 ログイン後の「サービストップ」画面から、「取引履歴照会」を選択してご確認ください。 ※当サービス以外でのお取引の履歴は反映されません。 「ニッセイ法人インターネットサービス」へログイン
47,https://faq.nissay.co.jp/faq/show/47?site_domain=default,よくあるご質問 > 保険金・給付金 > 満期保険金・生存給付金等 > 満期保険金を受取るには、どうしたらいいですか？,満期保険金を受取るには、どうしたらいいですか？,満期日の約１カ月半前までに郵送する「満期のご案内」を確認のうえ、必要書類をご返送ください。 不明点等があれば、ニッセイコールセンター、お客様窓口、または当社職員にご連絡ください。 ※一定の条件を満たす場合、請求手続を省略できることもございます。 詳細に関しましては、送付のご案内をご確認ください。 ニッセイコールセンター お客様窓口
48,https://faq.nissay.co.jp/faq/show/48?site_domain=default,よくあるご質問 > 保険金・給付金 > 満期保険金・生存給付金等 > 満期保険金の据置・受取りについて知りたい,満期保険金の据置・受取りについて知りたい,満期時、受取金額の全部または一部を最長１０年間据置くことができます。 据置金額は、１０万円以上１円単位で取扱可能です。 お客様番号（お客様ID）を発行されているお客様は、据置いた保険金を「ご契約者さま専用サービス」で全額または一部を引出すことができます。 「ご契約者さま専用サービス」へログイン 据置保険金は、当社所定の利息をつけてお預かりします。（利率は、金利水準等により変動することがあります。利率については以下をご参照ください。） 主な諸利率一覧について 保険金を据置いた場合でも、保険金は支払われたことになり、満期支払期日の属する年の課税対象となります。また、据置利息は毎年の雑所得となり、所得税の申告が必要です。 ※当記載は法令等に基づくものであり、将来的に変更される可能性があります。
49,https://faq.nissay.co.jp/faq/show/49?site_domain=default,よくあるご質問 > 保険金・給付金 > 死亡保険金・高度障害保険金等 > 死亡保険金の請求をしたいのですが、どうしたらいいですか？,死亡保険金の請求をしたいのですが、どうしたらいいですか？,心よりお悔やみ申しあげます。 ニッセイコールセンター、お客様窓口、または当社職員にご連絡ください。 ※死亡保険金受取人ご本人からご請求ください。 ※死亡保険金受取人は、契約内容（変更）通知書または保険証券でご確認ください。 ニッセイコールセンター お客様窓口
50,https://faq.nissay.co.jp/faq/show/50?site_domain=default,よくあるご質問 > 保険金・給付金 > その他 > 保険金・給付金などを請求したら、いつ振込まれますか？,保険金・給付金などを請求したら、いつ振込まれますか？,必要な書類やデータが当社に到着した日の翌日から、原則5営業日以内にお手続きを完了いたします。 ※手続書類が不足している場合や、お支払いのための確認等が必要な場合は、更にお時間を要します。また、ご請求いただく内容やご契約の内容によっても、更にお時間を要する場合がございます。 約款に定める期限を超える場合は、所定の利息をつけてお支払いします。 詳細は、以下をご確認ください。 保険金・給付金などをお支払いする際の遅延利息について[159KB]
51,https://faq.nissay.co.jp/faq/show/51?site_domain=default,よくあるご質問 > 保険金・給付金 > 死亡保険金・高度障害保険金等 > 死亡保険金の受取人は誰でもいいのですか？,死亡保険金の受取人は誰でもいいのですか？,死亡保険金の受取人は、保険金をご請求いただく際のお手続内容を踏まえ、原則、配偶者および2親等以内の血族（祖父母、父母、兄弟姉妹、子、孫など）の範囲でご指定ください。 上記以外の方を死亡保険金の受取人に指定する場合は、個別に事情等を確認させていただくとともに、留意点等をお伝えいたします。 また、死亡保険金受取人を変更する場合は、被保険者様のご同意が必要となります。 変更する場合は、ニッセイコールセンター、お客様窓口、または当社職員へご連絡ください。 ニッセイコールセンター お客様窓口 なお、契約者、被保険者、受取人の関係によって、保険金受取時に適用される税金が異なります。 詳細は、以下をご確認ください。 保険金や年金を受取る場合の税金について教えてください。
52,https://faq.nissay.co.jp/faq/show/52?site_domain=default,よくあるご質問 > 保険金・給付金 > 入院・手術給付金等 > 入院・手術の給付金を請求したいのですが、どうしたらいいですか？,入院・手術の給付金を請求したいのですが、どうしたらいいですか？,インターネットまたは書類での請求ができます。 詳細は以下をご確認ください。 入院・手術給付金、生前給付保険金の受取り請求 不明点等があれば、ニッセイコールセンター、お客様窓口、または当社職員にご連絡ください。 ニッセイコールセンター お客様窓口
53,https://faq.nissay.co.jp/faq/show/53?site_domain=default,よくあるご質問 > 保険金・給付金 > 入院・手術給付金等 > 給付金を請求する際、診断書は原本ではなくコピーでも手続きすることができますか？,給付金を請求する際、診断書は原本ではなくコピーでも手続きすることができますか？,原則、診断書の原本をご提出ください。 保険金・給付金をもれなくお受取りいただくために、「当社所定の診断書」の原本をご提出いただいております。 既に当社所定以外の診断書を取寄せ済の場合は、ニッセイコールセンター、お客様窓口、または当社職員にご連絡ください。 ニッセイコールセンター お客様窓口
54,https://faq.nissay.co.jp/faq/show/54?site_domain=default,よくあるご質問 > 保険金・給付金 > 入院・手術給付金等 > 給付金請求書の記入方法を教えてください。,給付金請求書の記入方法を教えてください。,以下の記入例をご確認ください。 「保険金・給付金請求書」記入例 [1.58MB] 「治療内容報告書」（入院総合保険等）記入例 [417KB] 「治療内容報告書」（総合医療保険用）記入例 [284KB] 「入院内容報告書」記入例 [326KB] 「通院内容報告書」記入例 [331KB] 「事故状況報告書」記入例 [235KB] ＜ご参考＞ 入院・手術給付金請求のみの場合は、インターネット請求できる可能性があります。 詳しくは以下をご確認ください。 入院・手術給付金、生前給付保険金の受取り請求
55,https://faq.nissay.co.jp/faq/show/55?site_domain=default,よくあるご質問 > 保険金・給付金 > 入院・手術給付金等 > 日本生命所定以外の診断書で、給付金請求はできますか？,日本生命所定以外の診断書で、給付金請求はできますか？,原則、当社所定の診断書で手続きする必要がありますが、他の生命保険会社あるいは病院発行の診断書を既に取寄せている場合は、一度その診断書をご提出ください。 ※当社の支払判断に必要な情報に不足がある場合は、当社所定の診断書が必要となります。 診断書に代えて、領収証のコピーでも請求可能な場合があります。 また、入院・手術給付金請求のみの場合は、インターネット請求できる可能性がありますので、詳しくは以下をご確認ください。 入院・手術給付金、生前給付保険金の受取り請求
56,https://faq.nissay.co.jp/faq/show/56?site_domain=default,よくあるご質問 > 保険金・給付金 > その他 > 保険金・給付金を受取ることができるか教えてほしい,保険金・給付金を受取ることができるか教えてほしい,保険種類・加入時期・特約等によって、支払事由（受取条件）は異なります。 入院・手術を受けられた場合や、お亡くなりになった場合等のお手続きに関するお問合せは、ニッセイコールセンター、お客様窓口、または当社職員にご連絡ください。 ニッセイコールセンター お客様窓口 メールでのお申し出も可能です。 「ご契約者さま専用サービス」へログイン スマートフォンをご利用の方はこちらへ ＜ご参考＞ 保険金・給付金の受取りに関する詳細は、以下をご参照ください。 保険金・給付金のお受取りについて
